Year,average_reduce_factor,average_eliminate_factor,Good Days,Moderate Days,Unhealthy for sensitive grps Days,Unhealthy Days,Very unhealthy Days,Hazardous Days,Total Days
1974,0.03464979728785125,0.0110855629877369,151,27,5,0,0,0,184
1975,0.026702083042080247,0.009404363752189839,141,15,4,0,0,0,161
1978,0.035677338179784704,0.013294314381270902,19,2,1,0,0,0,23
1979,0.035153409261652196,0.010034747184279894,81,20,2,0,0,0,107
1980,0.05301400746572052,0.021584880636604773,130,33,8,2,0,0,174
1981,0.06121247154882764,0.020087870930567558,122,38,11,0,0,0,178
1982,0.03668657173480325,0.01584249084249084,145,15,7,1,0,0,168
1983,0.02106282197559036,0.006610146126275158,81,10,1,0,0,0,93
1984,0.04660446646636094,0.017360235393022276,149,19,11,0,0,0,183
1985,0.012141758702642249,0.0036893812709030095,168,15,0,0,0,0,184
1986,0.027394100377464002,0.00771669453734671,150,29,2,0,0,0,184
1987,0.014331649058337163,0.0040786136939983085,82,9,0,0,0,0,91
1988,0.06432965189431009,0.0217670011148272,127,37,13,0,0,0,184
1992,0.07748826551354548,0.025353669319186558,56,23,7,0,0,0,87
1995,0.04435893381125578,0.012739946756340197,130,41,5,0,0,0,183
1996,0.02958898364322662,0.008803651059085841,151,28,3,0,0,0,184
1997,0.0019292604501607712,0.001923076923076923,175,0,0,0,0,0,175
1998,0.02002143622722401,0.00504985754985755,152,26,0,0,0,0,180
1999,0.032877813504823154,0.008695652173913044,145,37,2,0,0,0,184
2000,0.040450516068288006,0.010734523303584077,134,43,3,0,0,0,181
2001,0.01827554872081644,0.004755434782608696,159,24,0,0,0,0,184
2002,0.015559904934992312,0.004292084726867335,164,20,0,0,0,0,184
2003,0.033398574024884664,0.008072045707915271,139,42,1,0,0,0,184
2004,0.04448192855762305,0.00995866610620709,117,58,1,0,0,0,183
2005,0.0559869984621837,0.012660256410256409,105,71,2,0,0,0,184
2006,0.05367328393680973,0.010873049052396878,103,76,0,0,0,0,184
2007,0.07004403746679715,0.02066959308807135,109,58,10,0,0,0,184
2008,0.03800852789039564,0.008159141583054627,127,53,0,0,0,0,184
2009,0.022993848734796592,0.005532329988851728,147,31,0,0,0,0,184
2010,0.030480218090311758,0.006824832775919732,135,42,0,0,0,0,184
2011,0.04546344191248428,0.009420289855072463,112,64,0,0,0,0,184
2012,0.01826506360967426,0.004744983277591973,158,24,0,0,0,0,184
2013,0.0073290926883824966,0.0028184225195094755,171,8,0,0,0,0,184
2014,0.01756256116314833,0.004605629877369008,157,23,0,0,0,0,184
2015,0.016388113494222818,0.0044273034657650034,160,21,0,0,0,0,182
2016,0.014967668986961592,0.004145533953226261,158,19,0,0,0,0,182
2017,0.013136312728060984,0.003817343704984154,156,16,0,0,0,0,178
2018,0.01535778516540411,0.00423004490801101,155,19,0,0,0,0,177
2019,0.020959737173214036,0.005187430323299888,151,28,0,0,0,0,184
2020,0.012229134628827066,0.004358277591973244,166,11,1,0,0,0,184
2021,0.01141828603383196,0.0035291248606466,165,14,0,0,0,0,184
