participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 1,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 10,No,Daily,I am not familiar with this rating,"301+:
Hazardous"
Participant 10,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 100,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 100,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1000,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1002,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1003,No,~1 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 1004,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1005,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1006,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1007,No,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1008,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1009,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 101,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 101,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1010,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1011,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 1012,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1013,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1014,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1015,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1016,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1017,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 102,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 102,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1020,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1022,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1023,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1024,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1025,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 1026,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1027,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1028,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1029,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 103,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1030,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1031,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1032,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1033,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1034,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1035,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1037,Yes,~1 per week,"201-300:
Very Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1038,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1039,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1040,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1042,No,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1043,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1044,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1045,No,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1046,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1047,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1048,Yes,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1049,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 105,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1050,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1051,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1052,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1053,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1055,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1056,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1057,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1058,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1059,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 106,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 106,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1060,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1061,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1063,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1064,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1065,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1066,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1067,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1068,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1069,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 107,No,~1-3 per month,"301+:
Hazardous","301+:
Hazardous"
Participant 1070,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1071,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1072,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1073,Yes,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1074,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1075,No,~1-3 per summer,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1076,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1077,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1078,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1079,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 108,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1080,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1082,No,~1 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 1083,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1084,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1085,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1086,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
