Park District,Park,Annual Attendance,Fiscal Year 22-23 Expenditures
1,Alfred B. Maclay Gardens,"84,260",859815
1,Bald Point,38963,279339
1,Big Lagoon ,116435,2386938
1,Blackwater Heritage Trail ,159609,116134
1,Blackwater River ,82890,320277
1,Camp Helen ,57380,1452928
1,Deer Lake ,26019,84479
1,St. George Island ,215427,878451
1,Econfina River ,10668,4579
1,Eden Gardens ,42695,143031
1,Wakulla Springs ,166551,1537628
1,Falling Waters ,57678,364574
1,Florida Caverns,132403,1390007
1,Fred Gannon Rocky Bayou ,91046,417969
1,Grayton Beach ,251752,1303298
1,Henderson Beach,573396,794316
1,Lake Jackson Mounds ,15171,239026
1,Lake Talquin,"4,103",291450
1,Letchworth-Love Mounds ,1876,44896
1,Natural Bridge Battlefield,1147,55463
1,Ochlockonee River ,35254,475317
1,Perdido Key ,101823,433926
1,Ponce de Leon Springs ,125457,255656
1,San Marcos de Apalache ,2646,139986
1,St. Andrews ,734422,1698295
1,T.H. Stone Memorial St. Joseph,"132,644",7798863
1,Tallahassee-St. Marks Historic Railroad ,221069,107010
1,Three Rivers ,43363,1682758
1,Topsail Hill ,261084,1302349
1,Torreya,36133,438134
1,"William ""Billy Joe"" Rish",12347,1817415
1,Yellow River Marsh,8999,58345
2,Lafayette Blue Springs ,10930,345710
2,Ichetucknee Springs ,224598,841711
2,O'Leno ,76813,722164
2,Suwannee River ,44032,492125
2,Suwannee River Wilderness Trail ,16314,120728
2,Big Shoals ,18483,77288
