participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 1,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 10,in_person,Yes – Please list the activities __________________,Daily,,No,0 days,I am not familiar with this rating,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 10,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 100,in_person,Yes – Please list the activities __________________,Daily,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 100,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1000,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1001,online,No (skip to question 11),,2 days,Yes,4 days,Red – Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1002,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1003,online,Yes – Please list the activities __________________,Once per week,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Advice from your doctor
Participant 1004,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1005,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,5 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1006,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1007,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,No,0 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1008,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1009,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 101,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Wildfire information
Participant 101,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1010,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1011,online,Yes – Please list the activities __________________,A few times per week,,Yes,3 days,Yellow – Moderate,Yellow – Moderate,Your own visual observation (seeing the smoke outside)
Participant 1012,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1013,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1014,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1015,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1016,online,Yes – Please list the activities __________________,Daily,3 days,Yes,3 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1017,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,5 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1018,online,No (skip to question 11),,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1019,online,,,,,,,,
Participant 102,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Smoke-related health problem statistics
Participant 102,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
