fire_name,fire_year,fire_size_acres,closest_distance_miles,perimeter_points_count,closest_point
Laurel Branch (14),1920,498.89397070883723,360.6376072089654,60,"(35.66241165344432, -83.57646729414687)"
Spruce Mountain (2),1923,856.7664731573726,360.1066547239825,321,"(35.604207223018356, -83.15912115839201)"
Goshen Ridge (16),1925,5870.435329916164,356.5830817392054,32,"(35.600642397355045, -83.5491645136673)"
Balsam/Cat (12),1925,8709.390470478236,362.25738966673316,919,"(35.64084835097713, -83.19262713148186)"
Dome (2),1925,2272.1042183141203,352.06610319422344,465,"(35.53126356302195, -83.51529959408765)"
Mount Ambler (8),1925,1194.5069139592104,358.156763285949,43,"(35.60497795973409, -83.37676382217221)"
Proctor (12),1925,832.3620348087643,352.1159720372833,68,"(35.541890771663844, -83.61910479060214)"
White Man's Glory Creek (8),1925,589.2426657615777,350.46390923519795,22,"(35.51530626180503, -83.59165055498657)"
White Rock (10),1925,766.954390865816,370.2892151599549,364,"(35.75678969785183, -83.17624281438803)"
Brushy Mountain (2),1925,193.4559453473805,363.0263325968841,294,"(35.683907402917924, -83.44299645059569)"
Proctor 2 (12),1925,269.6604531707506,351.54422501427393,52,"(35.53032173126114, -83.58351029811293)"
Brushy Mountain (8),1925,313.01377295560326,363.6754438403937,101,"(35.683042521438594, -83.35313979319588)"
Cosby Creek (6),1925,136.3550141271167,369.21105430750276,104,"(35.742155851504904, -83.18493493249103)"
Goshen Ridge (6),1925,129.040539692593,355.50043552103216,20,"(35.589234723477716, -83.59623368805913)"
Brushy Mountain (4),1925,102.62575967956515,362.75543293202037,55,"(35.671356700415174, -83.36808671183628)"
Beard Cane Mountain (4),1925,104.24686556219082,359.501906468186,22,"(35.66521385973196, -83.83868808855301)"
Mount Ambler (10),1925,210.72975447893313,357.8547093858954,36,"(35.604246041811194, -83.40804620583891)"
Brushy Mountain (2),1925,55.25572788116237,362.6069020453266,93,"(35.67449987684454, -83.4136783050317)"
Brushy Mountain (2),1925,45.87788820391447,365.8889706693466,52,"(35.71149296494089, -83.32055324886723)"
Brushy Mountain (2),1925,15.426185061542412,362.5363578811817,34,"(35.675884647831715, -83.43525255726686)"
Murray (2),1926,50.997766863953245,351.52357600860216,42,"(35.55573906414171, -83.9754854782434)"
Deep Creek Gap (2),1928,35.084900874078954,354.77548364323366,28,"(35.56053875135731, -83.42017068390606)"
Tabcat (2),1930,109.74906915853734,348.9287500965827,83,"(35.517974665839674, -83.97328920130097)"
Sharp Top (2),1930,54.463640271416665,348.3004325371224,53,"(35.46894014503053, -83.44846838406681)"
Bote (2),1931,70.19074381632028,355.97958971336493,30,"(35.60689640841413, -83.72795689763329)"
Abrams/Rabbit Creek (2),1933,1110.38251839978,353.6446918238767,71,"(35.58447509936055, -83.92560944780674)"
Hickory Gap (2),1933,130.1324357284497,349.599581574073,40,"(35.523806580928074, -83.8860710162755)"
Hatcher Mountain (2),1933,72.37724142153073,356.13267338993217,47,"(35.61883921791295, -83.88786824714383)"
Thunderhead Mountain (4),1934,350.98251669617537,355.441208927435,119,"(35.596171988736714, -83.6893061756771)"
Rabbit Creek (2),1934,73.00637260128642,351.19677076206864,54,"(35.54687679356765, -83.88328257387562)"
CUB RUN (2),1935,499.24486527468173,480.49232522054575,60,"(37.26006726586615, -86.094241542473)"
HIGGIN BOTHAM (2),1935,192.7471913918719,470.39292352496426,65,"(37.113770434932306, -86.0720273824713)"
Panther (2),1935,89.16439195952172,350.20623791239234,27,"(35.53527018896992, -83.94251168767632)"
Black Gum (2),1935,79.9822022520119,349.253509728366,65,"(35.51888431068783, -83.88818092599584)"
DEVILS (2),1935,77.89566376431961,480.1442900961328,49,"(37.25034022580762, -86.11814680996522)"
FIRST CRK (4),1935,72.38256890685716,480.0444342617548,181,"(37.22720547862182, -86.22784934697368)"
DR. H. B. THOMAS (2),1935,50.88385807416249,475.2470999386857,86,"(37.19787294754752, -86.00843970573972)"
CHAUMONT S.E. (2),1935,42.79846407481056,471.00704468931406,128,"(37.12767492559485, -86.04689781906927)"
BYLEW (2),1935,36.02614168391034,481.72208452137926,43,"(37.26283592742782, -86.17509152409622)"
HIGHLAND (2),1935,35.02295440575623,470.99700261677236,44,"(37.131219165685735, -86.02709732828846)"
FRANCE (2),1935,30.026083730980666,471.6123105001914,56,"(37.12443277706289, -86.11109683807574)"
BIG WOODS (2),1935,26.84845337724072,479.66093903720315,26,"(37.25768318055084, -86.04045789508288)"
BIG HOLLOW (2),1935,39.80785734707159,477.94157384335927,49,"(37.21752834926133, -86.1179613575824)"
TRACT 251 (2),1935,17.50735178391688,474.9137775519327,71,"(37.17315592410127, -86.11386110215636)"
SAND CAVE (2),1935,14.774750975496966,475.04412761533047,31,"(37.17080714603592, -86.13594753496847)"
TRACT 128 (2),1935,13.616127767930758,473.71002673602067,187,"(37.15324288252673, -86.12391646136855)"
PINE CREEK (2),1935,11.911772316313787,481.6486470381573,89,"(37.245372814673395, -86.25642718131694)"
HOLTON (2),1935,9.39870694286921,477.3434739026904,47,"(37.213161648635854, -86.09415033276629)"
BROOKS KNO (2),1935,9.036460620733635,476.7477494038098,28,"(37.18274697224043, -86.20388812412361)"
WHISTLE (2),1935,5.287752929308646,482.30052881944874,34,"(37.25879709093465, -86.23849891831942)"
LEE WOODS (2),1935,4.719882489332362,475.7520952295338,31,"(37.17825729221362, -86.15184351607542)"
TRACT 133 (2),1935,4.670146315513646,474.6901293796848,361,"(37.16470218981043, -86.14013285611082)"
TRACT 153 (2),1935,4.597313982090845,475.30499540835615,55,"(37.175661798921716, -86.13102732911726)"
TRACT 456 (2),1935,3.0418246277631185,476.3425973721701,12,"(37.18045240410934, -86.18519624598066)"
SANG HOLLO (2),1935,2.999550473632228,478.2611266657605,361,"(37.2244141731609, -86.10689195561773)"
CHIMNEY (2),1935,1.320356959066175,482.1396759350138,16,"(37.25961273525366, -86.22259289723615)"
Brier Ridge (4),1936,464.1928171598814,354.6662795027316,4,"(35.58404075978595, -83.67856653186865)"
Blacksmith-Miller (2),1936,291.72729885412156,349.27572244927,51,"(35.52243391537366, -83.95872171813087)"
Blacksmith-Miller (4),1936,487.41370404225705,349.70532075923427,37,"(35.529433689472434, -83.97803698293761)"
Blacksmith-Miller (2),1936,82.0667958020427,349.60309723600335,25,"(35.52429444686097, -83.89474768643808)"
CHIMNEY (2),1936,74.99269831410925,476.0776816679903,47,"(37.20873323018244, -86.01664213250471)"
Blacksmith-Miller (2),1936,44.065973528407774,349.97009232156995,47,"(35.52847828186021, -83.87232129111881)"
PARKER (2),1936,31.621801526323704,474.8409242179794,78,"(37.16046105738701, -86.17292744575573)"
ARTHUR (2),1936,29.55679915909535,476.4947037842235,49,"(37.17777083274583, -86.20976341680048)"
TRACT 237 (2),1936,4.710164184112518,473.82030066325194,7,"(37.14815216219353, -86.15815553177723)"
Mount Lanier (2),1937,86.34834795782255,350.79149236117695,25,"(35.543341784452416, -83.93265620747222)"
Calderwood (2),1938,91.40325024502977,347.9038139488626,62,"(35.50291253717035, -83.96873882844645)"
Happy Valley (2),1938,57.85825997649201,355.95717056950315,52,"(35.618421388140476, -83.93365311733012)"
Parson Branch (2),1938,22.380384285285363,349.22393296200846,13,"(35.520390829210264, -83.9286352994399)"
Shaw Grave Gap (2),1939,113.11737498421294,348.3638739221065,30,"(35.509002159239856, -83.95414280462053)"
