fire_name,fire_year,fire_size_acres,closest_distance_miles,perimeter_points_count,closest_point
UNNAMED (2),2007,2431.763975775811,6.1627111919632,61,"(30.372023360287926, -84.26874476410474)"
UNNAMED (1),2007,1410.9764088681943,189.052912616752,159,"(29.043780662103273, -81.55533320563843)"
UNNAMED (1),2007,1410.4995448219045,26.859087654402092,80,"(30.58148944968886, -83.82205248407375)"
UNNAMED (1),2007,1397.6681427397568,295.2232121306669,37,"(26.930269528718796, -81.49008427429587)"
UNNAMED (1),2007,1388.2885444514118,132.39539609922824,18,"(30.635393081720967, -86.46136101996987)"
UNNAMED (1),2007,1375.1294662588423,114.60493806244857,106,"(30.593552801028917, -86.16561077273269)"
UNNAMED (2),2007,2493.4510661793192,39.18999381607296,62,"(29.95315253446124, -84.54756379993336)"
UNNAMED (1),2007,1356.5468495137186,232.67929837724375,37,"(33.73594734149531, -83.28688336846395)"
UNNAMED (2),2007,2672.930995753699,168.87752581243794,100,"(29.397205523688584, -81.71329222060477)"
PRESCRIBED FIRE (1),2007,1350.5447807988305,22.277353530352237,184,"(30.15469345730608, -84.12705722559492)"
UNNAMED (1),2007,1341.1480215440147,150.00272535790128,54,"(30.549239698184035, -86.76273720865788)"
UNNAMED (1),2007,1324.9844949235223,593.8512270759002,504,"(33.74170460451057, -93.6182225459164)"
UNNAMED (1),2007,1313.9824738752861,564.5702614239581,492,"(34.96656851864739, -92.35001187079345)"
UNNAMED (2),2007,2141.2909219416115,127.34441077584215,44,"(30.63558024256838, -86.37625208793841)"
UNNAMED (1),2007,1302.070989241388,279.1849377693795,47,"(27.525161579534007, -81.06856130215682)"
UNNAMED (1),2007,1282.016164377063,341.81390596954844,137,"(26.89175339575359, -80.3365264156773)"
LOXBURN 5 (1),2007,1280.2769643137406,366.45350392566576,82,"(26.49569720468878, -80.23078143277907)"
RX 7 1 B (1),2007,1263.6792708115543,253.0764874200971,116,"(28.58046337768409, -80.63962010140281)"
UNNAMED (5),2007,4780.262581925597,261.06329486232914,146,"(27.85314247519949, -81.11435561190926)"
UNNAMED (1),2007,1251.4969157608425,483.3606499722863,85,"(37.35192166705425, -82.69133738437725)"
UNNAMED (1),2007,1248.2764650893978,108.64027770655632,30,"(30.25587506385713, -82.4466434770953)"
RX DEEP MARSH 07 (1),2007,1244.7348803264751,616.5561631881997,18,"(29.557344578532867, -94.48596617600491)"
