usgs_assigned_id,fire_name,fire_year,fire_size_acres,distance_miles,perimeter_points_count,closest_point
14136,CHESTNUT (2),1962,35.20257454524206,351.98893774322727,39,"(35.54444097023928, -83.67130387452825)"
15037,ABRAMS MTN (2),1965,3.9782418134748907,638.1279167007049,37,"(38.41649241486391, -78.5256522536004)"
15043,SANDY BOTT (2),1965,1.9894917821887914,632.9632933748024,37,"(38.34992872321968, -78.56995054069573)"
15068,LEWIS PEAK (2),1965,0.24882120880443995,624.331962975093,37,"(38.2841337612362, -78.73544602772827)"
15812,OAK TREE (2),1967,0.09945682809366019,644.4791812807613,37,"(38.488165677947954, -78.4507953995299)"
16210,ELLIS BUTT (2),1968,9.318865592795136,358.5733751913619,14,"(35.654632524540084, -83.89454021292026)"
16554,PAINE RUN (2),1969,7.737741609041988,617.4268501157186,36,"(38.19669582970372, -78.79754512382462)"
16585,MADISON RU (2),1969,0.5783937729445568,622.2702462312881,22,"(38.2644802471668, -78.76716720723783)"
16630,MD 77 (2),1969,0.09947673890825674,626.9239743006124,37,"(38.29075005985664, -78.65905235960905)"
16986,GRINDSTONE (2),1970,30.957481759241354,643.1544987946161,23,"(38.51973951060126, -78.56020268552383)"
17436,MT STERLIN (2),1971,91.00373621658264,362.7051527292121,44,"(35.62349917565002, -83.03846869877316)"
18480,ABRAM MT (2),1973,21.67701056898283,637.1806067801998,23,"(38.4123454083557, -78.54991763350856)"
18971,CROW HOLLW (2),1974,27.863475962900722,638.9302224615415,31,"(38.431467689529164, -78.52804068417169)"
19000,RT 288 20M (2),1974,18.455785750845372,345.5106728174397,19,"(35.46436404545576, -83.88576771155242)"
19095,LITTLE PND (2),1974,3.817453102005865,358.55319815248083,5,"(35.65546923513359, -83.91869125731473)"
19565,HOP HOLLOW (2),1975,7.2449749939677925,548.8713671621069,5,"(37.42451330296604, -79.60944330972947)"
19595,TANBARK (2),1975,4.029708361472079,373.15435072135733,5,"(35.66370698632846, -82.47051781981804)"
19606,BEECHNUT G (2),1975,3.384426790837609,353.51929037165985,12,"(35.56778606333968, -83.68440184948086)"
19703,BELDORE HO (2),1975,0.09947406011403007,631.4601247016465,37,"(38.350946457339056, -78.62371843012437)"
19996,EAST NAVAL (2),1976,21.99911323352668,171.1461613205677,9,"(30.372812831156264, -87.11499493165823)"
20189,CHESTNUT (2),1976,0.3974294924763648,357.31617433502714,6,"(35.46280165696476, -82.63235641869011)"
20202,HOWARDSVIL (2),1976,0.15218210283849656,601.0339883050858,38,"(37.96801677756228, -78.9020420144292)"
20397,Table Point (2),1977,331.41536869242594,168.1155096826491,67,"(30.87194086740868, -81.46729621320995)"
20468,HALL MTN (2),1977,84.55684240519133,619.8482887225015,37,"(38.22628456466574, -78.77359110664199)"
20547,GOLD COAST (2),1977,20.399150352459895,399.7503221041274,7,"(35.91734780929986, -81.90988987270241)"
20659,BACON HOL (2),1977,2.5714169838880907,630.9255092414807,28,"(38.320958501153704, -78.58202569293579)"
20694,SWIFT RN E (2),1977,0.9945633846968731,633.9578893676589,37,"(38.34910174536481, -78.53428153330037)"
