participant_id,survey_type,age,gender,race,zip_code,education_level,income
Participant 1,in_person,62.0,A woman,White / Caucasian,83676.0,"Some college, no degree","$75,000 to $99,999"
Participant 1,online,40.0,A woman,,83703.0,Associates degree,"$50,000 to $74,999"
Participant 10,in_person,30.0,A woman,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 10,online,42.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$25,000 to $49,999"
Participant 100,in_person,25.0,A man,White / Caucasian,,"Some college, no degree","$50,000 to $74,999"
Participant 100,online,31.0,A woman,Hispanic or Latino,83714.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 1000,online,35.0,A woman,White / Caucasian,83706.0,Associates degree,"$25,000 or less"
Participant 1001,online,21.0,A woman,White / Caucasian,83712.0,"Some high school, no diploma","$25,000 or less"
Participant 1002,online,21.0,A man,White / Caucasian,83686.0,"Some high school, no diploma","$75,000 to $99,999"
Participant 1003,online,76.0,A man,White / Caucasian,83706.0,"Some college, no degree","$75,000 to $99,999"
Participant 1004,online,38.0,A woman,White / Caucasian,83646.0,"High school graduate, diploma or GED","$75,000 to $99,999"
Participant 1005,online,51.0,A woman,White / Caucasian,83703.0,Associates degree,"$100,000 or more"
Participant 1006,online,46.0,A woman,White / Caucasian,83646.0,"High school graduate, diploma or GED","$100,000 or more"
Participant 1007,online,18.0,A man,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1008,online,32.0,Other,Black or African American,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1009,online,21.0,A woman,Hispanic or Latino,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 101,in_person,30.0,A man,White / Caucasian,34488.0,Bachelor’s degree,"$25,000 to $49,999"
Participant 101,online,49.0,A man,White / Caucasian,83712.0,Associates degree,"$75,000 to $99,999"
Participant 1010,online,36.0,A woman,Hispanic or Latino,83712.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1011,online,37.0,A woman,White / Caucasian,83702.0,Associates degree,"$25,000 to $49,999"
Participant 1012,online,55.0,Other,,83702.0,Associates degree,"$100,000 or more"
Participant 1013,online,38.0,A woman,White / Caucasian,83646.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1014,online,58.0,A woman,White / Caucasian,83706.0,Associates degree,"$75,000 to $99,999"
Participant 1015,online,40.0,A woman,White / Caucasian,83714.0,Associates degree,"$75,000 to $99,999"
Participant 1016,online,75.0,A man,White / Caucasian,83716.0,"Some college, no degree","$50,000 to $74,999"
Participant 1017,online,43.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1018,online,47.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$25,000 to $49,999"
Participant 1019,online,,,,,,
Participant 102,in_person,26.0,A man,White / Caucasian,,"Some college, no degree","$25,000 to $49,999"
Participant 102,online,36.0,A woman,White / Caucasian,83706.0,Associates degree,"$100,000 or more"
Participant 1020,online,24.0,A man,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1021,online,,,,,,
Participant 1022,online,38.0,A man,White / Caucasian,83714.0,"Some college, no degree","$75,000 to $99,999"
Participant 1023,online,44.0,A man,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1024,online,47.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$100,000 or more"
Participant 1025,online,44.0,A man,White / Caucasian,83704.0,"Some college, no degree","$75,000 to $99,999"
Participant 1026,online,43.0,A man,White / Caucasian,83706.0,"Some college, no degree","$100,000 or more"
Participant 1027,online,30.0,A man,White / Caucasian,83706.0,Associates degree,"$50,000 to $74,999"
Participant 1028,online,43.0,A man,Native American / American Indian or Alaskan Native,83705.0,Associates degree,"$75,000 to $99,999"
Participant 1029,online,18.0,A woman,White / Caucasian,83725.0,8th grade or less,"$25,000 to $49,999"
Participant 103,in_person,28.0,A woman,White / Caucasian,55731.0,Master’s degree,"$25,000 to $49,999"
Participant 103,online,57.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 or less"
Participant 1030,online,37.0,A man,White / Caucasian,83706.0,"Some college, no degree","$100,000 or more"
Participant 1031,online,65.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1032,online,40.0,A man,White / Caucasian,83725.0,"Some college, no degree","$50,000 to $74,999"
Participant 1033,online,37.0,A man,White / Caucasian,83706.0,Associates degree,"$50,000 to $74,999"
Participant 1034,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$75,000 to $99,999"
Participant 1035,online,32.0,A man,White / Caucasian,83705.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1036,online,,,,,,
Participant 1037,online,19.0,A woman,White / Caucasian,83646.0,8th grade or less,"$100,000 or more"
Participant 1038,online,48.0,A man,White / Caucasian,83716.0,Associates degree,"$100,000 or more"
Participant 1039,online,49.0,A man,White / Caucasian,83709.0,"Some college, no degree","$25,000 to $49,999"
Participant 104,in_person,29.0,A man,White / Caucasian,55731.0,Bachelor’s degree,"$50,000 to $74,999"
Participant 104,online,24.0,A woman,Hispanic or Latino,83687.0,"Some college, no degree","$50,000 to $74,999"
Participant 1040,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1041,online,42.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$50,000 to $74,999"
Participant 1042,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$100,000 or more"
Participant 1043,online,68.0,A woman,White / Caucasian,83651.0,"Some college, no degree","$100,000 or more"
Participant 1044,online,58.0,A man,White / Caucasian,83669.0,"Some college, no degree","$50,000 to $74,999"
Participant 1045,online,18.0,A woman,White / Caucasian,83704.0,8th grade or less,"$25,000 to $49,999"
