participant_id,Question 2 Option 1,Question 3 Option 1,Question 3 Option 2,Question 3 Option 3,Question 4 Option 1,Question 4 Option 2,Question 4 Option 3,Question 4 Option 4,Question 4 Option 5,Question 4 Option 6,Question 5 Option 1,Question 6 Option 1,Question 6 Option 2,Question 6 Option 3,Question 6 Option 4,Question 6 Option 5,Question 6 Option 6,Question 6 Option 7,Question 6 Option 8,Question 7 Option 1,Question 7 Option 2,Question 7 Option 3,Question 7 Option 4,Question 7 Option 5,Question 8 Option 1,Question 8 Option 2,Question 8 Option 3,Question 8 Option 4,Question 9 Option 1,Question 9 Option 2,Question 9 Option 3,Question 9 Option 4,Question 9 Option 5,Question 9 Option 6,Question 9 Option 7,Question 9 Option 8,Question 9 Option 9,Question 9 Option 10,Question 9 Option 11,Question 9 Option 12,Question 9 Option 13,Question 9 Option 14,Question 10 Option 1,Question 10 Option 2,Question 10 Option 3,Question 10 Option 4,Question 10 Option 5,Question 10 Option 6,Question 11 Option 1,Question 11 Option 2,Question 12 Option 1,Question 12 Option 2,Question 13 Option 1,Question 13 Option 2,Question 13 Option 3,Question 13 Option 4,Question 13 Option 5,Question 13 Option 6,Question 13 Option 7,Question 13 Option 8,Question 13 Option 9,Question 13 Option 10,Question 13 Option 11,Question 13 Option 12,Question 13 Option 13,Question 13 Option 14,Question 13 Option 15,Question 14 Option 1,Question 14 Option 2,Question 14 Option 3,Question 14 Option 4,Question 14 Option 5,Question 14 Option 6,Question 15 Option 1,Question 15 Option 2,Question 15 Option 3,Question 16 Option 1,Question 16 Option 2,Question 16 Option 3,Question 16 Option 4,Question 16 Option 5,Question 16 Option 6,Question 17 Option 1,Question 17 Option 2,Question 17 Option 3,Question 17 Option 4,Question 17 Option 5,Question 17 Option 6,Question 17 Option 7,Question 18 Option 1,Question 18 Option 2,Question 18 Option 3,Question 18 Option 4,Question 18 Option 5,Question 18 Option 6,Question 18 Option 7,Question 19 Option 1,Question 19 Option 2,Question 19 Option 3,Question 19 Option 4,Question 19 Option 5,Question 19 Option 6,Question 19 Option 7,Question 20 Option 1,Question 20 Option 2,Question 20 Option 3,Question 20 Option 4,Question 20 Option 5,Question 20 Option 6,Question 20 Option 7,Question 21 Option 1,Question 21 Option 2,Question 21 Option 3,Question 21 Option 4,Question 21 Option 5,Question 21 Option 6,Question 21 Option 7,Question 22 Option 1,Question 22 Option 2,Question 22 Option 3,Question 22 Option 4,Question 22 Option 5,Question 23 Option 1,Question 23 Option 2,Question 23 Option 3,Question 23 Option 4,Question 23 Option 5,Question 23 Option 6,Question 23 Option 7,Question 23 Option 8,Question 23 Option 9,Question 23 Option 10,Question 23 Option 11,Question 23 Option 12,Question 23 Option 13,Question 23 Option 14,Question 23 Option 15,Question 23 Option 16,Question 24 Option 1,Question 24 Option 2,Question 24 Option 3,Question 25 Option 1,Question 25 Option 2,Question 25 Option 3,Question 25 Option 4,Question 25 Option 5,Question 26 Option 1,Question 26 Option 2,Question 26 Option 3,Question 26 Option 4,Question 27 Option 1,Question 27 Option 2,Question 27 Option 3,Question 28 Option 1,Question 28 Option 2,Question 28 Option 3,Question 28 Option 4,Question 28 Option 5,Question 28 Option 6,Question 28 Option 7,Question 28 Option 8,Question 28 Option 9,Question 28 Option 10,Question 28 Option 11,Question 28 Option 12,Question 28 Option 13,Question 28 Option 14,Question 28 Option 15,Question 29 Option 1,Question 29 Option 2,Question 29 Option 3,Question 29 Option 4,Question 29 Option 5,Question 29 Option 6,Question 29 Option 7,Question 29 Option 8,survey_type
Participant 1,62.0,1,0,0,1,0,0,0,0,0,83676.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,in_person
Participant 2,62.0,1,0,0,1,0,0,0,0,0,83646.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,in_person
Participant 3,25.0,0,1,0,1,0,0,0,0,0,83702.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,in_person
Participant 4,53.0,1,0,0,1,0,0,0,0,0,83669.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,in_person
Participant 5,44.0,0,1,0,1,0,0,0,0,0,83705.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,in_person
Participant 6,47.0,1,0,0,1,0,0,0,0,0,83703.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,in_person
Participant 7,43.0,1,0,0,1,0,0,0,0,0,83669.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,in_person
Participant 8,39.0,0,1,0,1,0,0,0,0,0,83706.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in_person
Participant 9,26.0,1,0,0,1,0,0,0,0,0,83712.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,in_person
Participant 10,30.0,1,0,0,1,0,0,0,0,0,83706.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,in_person
Participant 11,40.0,1,0,0,1,0,0,0,0,0,83703.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,in_person
