name,url,country,population_millions
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,Afghanistan,42.4
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,Afghanistan,42.4
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,Afghanistan,42.4
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,42.4
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,Afghanistan,42.4
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Afghanistan,42.4
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Afghanistan,42.4
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,Afghanistan,42.4
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Afghanistan,42.4
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,Afghanistan,42.4
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,Afghanistan,42.4
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,Afghanistan,42.4
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Afghanistan,42.4
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,Afghanistan,42.4
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,Afghanistan,42.4
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Afghanistan,42.4
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Afghanistan,42.4
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,Afghanistan,42.4
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Afghanistan,42.4
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Afghanistan,42.4
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),Afghanistan,42.4
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,Afghanistan,42.4
Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,Afghanistan,42.4
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,Afghanistan,42.4
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,Afghanistan,42.4
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,Afghanistan,42.4
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,Afghanistan,42.4
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,Afghanistan,42.4
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Afghanistan,42.4
Sayed Yousuf Halim,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,Afghanistan,42.4
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,Afghanistan,42.4
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Afghanistan,42.4
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,42.4
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,42.4
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,42.4
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,42.4
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,42.4
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,42.4
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,42.4
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,42.4
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,42.4
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,42.4
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,42.4
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,42.4
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,42.4
