politician_name,revision_id
Abdul Rahim Ayoubi,1226326055
Amir Muhammad Akhundzada,1247931713
Aziza Ahmadyar,1195651393
Haroon al-Afghani,1230459615
Khadija Zahra Ahmadi,1234741562
Majah Ha Adrif,1233202991
Mohammad Sarwar Ahmedzai,1176429234
Muqadasa Ahmadzai,1235521766
Nasrullah Baryalai Arsalai,1225385278
Tayyab Agha,1225661708
Abdul Baqi Turkistani,1231655023
Bashir Ahmad Bezan,1248505877
Cheragh Ali Cheragh,1193992206
Ismael Balkhi,1244521219
Jan Baz,1227635806
Mohammad Ghous Bashiri,1237694188
Mohammad Siddiq Chakari,1134129082
Muhammad Hashim Esmatullahi,949986748
Nasir Ahmad Durrani,988838315
Rafiullah Bidar,1197443408
Abdul Ghani Ghani,1227026187
Aimal Faizi,1185105938
Gajinder Singh Safri,1212323536
Ghulam Ghaus,1158659195
Ghulam Muhammad Ghobar,1240993642
Hashmat Ghani Ahmadzai,1207743719
Sayed Yousuf Halim,1234514565
Sharif Ghalib,1245967190
Hafizullah Shabaz Khail,1238402857
Mahboba Hoqomal,1243745950
Mirza Muhammad Ismail,1235165845
Musa Hotak,1246566804
Qutbuddin Hilal,1246566795
Rangina Hamidi,1234743111
Said Tayeb Jawad,1248976824
Sayed Jalal,1137130537
Sayed Jalal Karim,1136614743
Sayed Zafar Hashemi,1179137138
Ahmad Wali Massoud,1221720658
Azizullah Lodin,1247762293
Baran Khan Kudezai,1176481824
Fazel Ahmed Manawi,1234514379
Masoud Khalili,1246566971
Moeen Marastial,1246567093
Mohammad Daud Miraki,1227103354
Razaq Mamoon,1227180106
Samoud Khan,1195409073
Abdul Karim Misaq,1235405154
Abdul Sattar Mirzakwal,1145249317
Daoud Naji,1247131367
Davood Moradian,1239319380
Gholam Rabani Nasher,1136534788
Ghulam Faroq Nijrabi,1136614778
Nasruddin Mohseni,1136630129
Sardar Mohammad Nadir Naeem,1204109653
Zalmai Mujadidi,1223903677
Abdul Majid Samim,1225425205
Ghulam Hassan Safi,1176507815
Ghulam Mohammad Rigi,1129192917
Hanifa Safi,1123824802
Mohammed Qalamuddin,1178097642
Mohammed Tahir Omar,1185088733
Mohammed Zia Salehi,1225457074
Saber Sangar,1227951669
Sayed Nasim Mihanparast,1172646418
Zabih-U-llah Ghazi Noristani,1136614682
Abdul Salam Zaeef,1243758857
Ahmadullah Wasiq,1171042170
Baktash Siawash,1250972393
Fazal Hadi Shinwari,1242412237
Gul Ahmmad Yama,1136614561
Hasan Ali Sultani,1136614726
Mohammad Hashem Taufiqui,1233490009
Pacha Gul Wafadar,1227179979
Suhail Shaheen,1198363158
Wahidullah Waissi,1232389768
Abdul Ghafor Zori,1136614520
Ali Pasha of Gusinje,1244421894
Azis Tahir Ajdonati,1192928746
Bislim Bajgora,1217284690
Kastriot Berissa,1244463139
Mohammed Zaman,1229734414
Qari Ziauddin,1245217124
Ylli Asllani,1221605713
Bardhok Biba,1250227174
Hysni Curri,1198914812
Ibrahim Dalliu,1248264998
Kostandin Boshnjaku,1250227994
Neritan Ceka,1184807608
Niazi Demi,1209346411
Safet Butka,1189442848
Spartak Braho,1224650124
Uran Butka,1196422551
Abas Ermenji,1240801210
Abdurrahman Dibra,1244008227
Ahmed Dino,1209165678
Aqif Pasha Elbasani,1243882903
Bujar Dida,1222151681
Ferhat Bey Draga,1236738861
Nexhip Draga,1236738502
Qamil Musa Haxhi Feza,1198224146
Rasih Dino,1180949327
Bajram Kelmendi,1237006808
High Council of Regency,1245450388
Ibrahim Karbunara,1235824719
Mehmed Kalakula,1145510350
Mihal Grameno,1226635783
Sabri Godo,1230739582
Artur Kuko,1112281132
Gjon Markagjoni,1227760361
Hysni Milloshi,1218412314
Kristo Kirka,1237950375
Kryeziu family,1236739222
Sabit Lulo,1180950488
Tefik Mborja,1234673487
Xhavid Leskoviku,1180950536
Adrian Neritani,1196135017
Avni Rustemi,1229276965
Bedri Pejani,1220757655
Behxhet Nepravishta,1180949734
Kadri Prishtina,1198167947
Musa Qazimi,1235824584
Mustafa Ndroqi,1198219291
Sali Nivica,1240539074
Thoma Orologa,1180949774
Ymer Prizreni,1215667416
Afrim Tole,1241836925
Athanas Shundi,1220369492
Chatin Sarachi,1141930406
Eduard Shalsi,1173107489
Ibrahim Temo,1228151428
Mehmet Tahsini,1239924043
Nebi Sefa,1244486537
Syreja Vlora,1186986269
Ylli Vesel Shehu,1250811470
Abdelkader Zoukh,1250270534
Abdyl Ypi,1220281072
Ali Aoun,1214835889
Basma Azouar,1192088820
Menduh Zavalani,1235824554
Mohamed Seghir Babes,1226280389
Visar Ymeri,1248230838
Visarion Xhuvani,1135323365
Xhezair Zaganjori,1143896123
Abdelhakim Belabed,1218173615
Aboubakr Belkaid,1176411375
Kamel Beldjoud,1214832676
Lamine Bechichi,1111537825
Mohamed Belouizdad,1169278443
Mohamed Cherif Belmihoub,1226553342
Mohamed Tarek Belaribi,1241671793
Noureddine Bahbouh,1099284595
Youcef Belmehdi,1239235131
Abdelkrim Benmbarek,1245801726
